,0,1,2,3,4
259,2019-06-16,1341.20500,XAU,USD,43.120737615212185
260,2019-06-15,1341.17500,XAU,USD,43.11977309291436
261,2019-06-14,1341.17500,XAU,USD,43.11977309291436
262,2019-06-13,1343.80500,XAU,USD,43.204329547690485
263,2019-06-12,1333.03000,XAU,USD,42.85790528905447
264,2019-06-11,1327.23500,XAU,USD,42.67159173185765
265,2019-06-10,1328.52000,XAU,USD,42.71290543694789
266,2019-06-09,1334.76000,XAU,USD,42.9135260748958
267,2019-06-08,1340.41000,XAU,USD,43.09517777431979
268,2019-06-07,1340.41000,XAU,USD,43.09517777431979
269,2019-06-06,1335.23000,XAU,USD,42.928636924228414
270,2019-06-05,1332.65500,XAU,USD,42.84584876033164
271,2019-06-04,1325.50500,XAU,USD,42.61597094601633
272,2019-06-03,1324.97500,XAU,USD,42.598931052088055
273,2019-06-02,1308.40500,XAU,USD,42.06619323625523
274,2019-06-01,1304.74000,XAU,USD,41.948360762204096
275,2019-05-31,1304.74000,XAU,USD,41.948360762204096
276,2019-05-30,1288.30500,XAU,USD,41.419963296711494
277,2019-05-29,1280.01500,XAU,USD,41.15343363507878
278,2019-05-28,1279.43500,XAU,USD,41.13478620398746
279,2019-05-27,1285.36000,XAU,USD,41.32527935780819
280,2019-05-26,1284.87500,XAU,USD,41.30968624732667
281,2019-05-25,1284.98000,XAU,USD,41.31306207536906
282,2019-05-24,1284.98000,XAU,USD,41.31306207536906
283,2019-05-23,1284.06500,XAU,USD,41.28364414528535
284,2019-05-22,1273.78500,XAU,USD,40.95313450456348
285,2019-05-21,1274.63500,XAU,USD,40.980462636335226
286,2019-05-20,1277.73000,XAU,USD,41.07996918672766
287,2019-05-19,1278.18500,XAU,USD,41.09459777491136
288,2019-05-18,1277.69500,XAU,USD,41.07884391071352
289,2019-05-17,1277.69500,XAU,USD,41.07884391071352
290,2019-05-16,1286.32000,XAU,USD,41.35614407133864
291,2019-05-15,1296.92500,XAU,USD,41.6971027036203
292,2019-05-14,1296.83000,XAU,USD,41.69404838301052
293,2019-05-13,1300.45500,XAU,USD,41.810594827331215
294,2019-05-12,1287.67500,XAU,USD,41.39970832845714
295,2019-05-11,1285.83000,XAU,USD,41.34039020714081
296,2019-05-10,1285.83000,XAU,USD,41.34039020714081
297,2019-05-09,1284.50500,XAU,USD,41.29779047232014
298,2019-05-08,1281.27000,XAU,USD,41.19378281787118
299,2019-05-07,1284.58000,XAU,USD,41.300201778064704
300,2019-05-06,1281.53000,XAU,USD,41.20214201111901
301,2019-05-05,1283.29500,XAU,USD,41.25888807297447
302,2019-05-04,1279.16500,XAU,USD,41.12610550330702
303,2019-05-03,1279.16500,XAU,USD,41.12610550330702
304,2019-05-02,1270.77500,XAU,USD,40.85636076734822
305,2019-05-01,1277.80000,XAU,USD,41.08221973875592
306,2019-04-30,1282.85500,XAU,USD,41.244741745939685
307,2019-04-29,1280.38500,XAU,USD,41.1653294100853
308,2019-04-28,1286.12500,XAU,USD,41.34987467640277
309,2019-04-27,1286.13500,XAU,USD,41.35019618383538
310,2019-04-26,1286.13500,XAU,USD,41.35019618383538
311,2019-04-25,1278.07000,XAU,USD,41.09090043943635
312,2019-04-24,1274.91000,XAU,USD,40.98930409073197
313,2019-04-23,1271.63500,XAU,USD,40.88401040655258
314,2019-04-22,1275.09000,XAU,USD,40.99509122451892
315,2019-04-21,1276.45500,XAU,USD,41.03897698907003
316,2019-04-20,1275.62000,XAU,USD,41.01213111844719
317,2019-04-19,1275.62000,XAU,USD,41.01213111844719
318,2019-04-18,1275.62000,XAU,USD,41.01213111844719
319,2019-04-17,1274.35000,XAU,USD,40.97129967450587
320,2019-04-16,1276.69500,XAU,USD,41.046693167452645
321,2019-04-15,1288.02000,XAU,USD,41.41080033488214
322,2019-04-14,1291.29500,XAU,USD,41.51609401906153
323,2019-04-13,1290.65000,XAU,USD,41.49535678965827
324,2019-04-12,1290.65000,XAU,USD,41.49535678965827
325,2019-04-11,1292.15500,XAU,USD,41.54374365826589
326,2019-04-10,1308.14000,XAU,USD,42.0576732892911
327,2019-04-09,1304.64500,XAU,USD,41.94530644159431
328,2019-04-08,1298.48000,XAU,USD,41.74709710939097
329,2019-04-07,1293.17000,XAU,USD,41.57637666267569
330,2019-04-06,1291.69000,XAU,USD,41.52879356264958
331,2019-04-05,1291.69000,XAU,USD,41.52879356264958
332,2019-04-04,1292.93000,XAU,USD,41.568660484293076
333,2019-04-03,1291.06500,XAU,USD,41.50869934811153
334,2019-04-02,1292.25000,XAU,USD,41.546797978875674
335,2019-04-01,1288.04500,XAU,USD,41.41160410346367
336,2019-03-31,1292.43000,XAU,USD,41.55258511266263
337,2019-03-30,1292.30500,XAU,USD,41.54856626975503
338,2019-03-29,1292.30500,XAU,USD,41.54856626975503
339,2019-03-28,1291.63500,XAU,USD,41.52702527177023
340,2019-03-27,1309.26000,XAU,USD,42.09368212174329
341,2019-03-26,1316.54000,XAU,USD,42.327739532682514
342,2019-03-25,1321.42500,XAU,USD,42.484795913511924
343,2019-03-24,1311.61000,XAU,USD,42.16923636840636
344,2019-03-23,1313.28500,XAU,USD,42.223088863368346
345,2019-03-22,1313.28500,XAU,USD,42.223088863368346
346,2019-03-21,1308.68000,XAU,USD,42.07503469065198
347,2019-03-20,1315.56000,XAU,USD,42.29623180428685
348,2019-03-19,1306.19000,XAU,USD,41.99497933993238
349,2019-03-18,1303.57500,XAU,USD,41.910905146305176
350,2019-03-17,1300.70500,XAU,USD,41.81863251314643
351,2019-03-16,1302.17000,XAU,USD,41.86573335202363
352,2019-03-15,1302.17000,XAU,USD,41.86573335202363
353,2019-03-14,1296.21500,XAU,USD,41.67427567590507
354,2019-03-13,1309.52000,XAU,USD,42.10204131499112
355,2019-03-12,1302.02500,XAU,USD,41.86107149425081
